gcdm_customer_id,country,optin_channel,data_date
0017A47705F21EE68BD73065A4991F31,AU,N,2021-01-15
005056B8A9EA1EE8B5F480E74FC90237,AU,,2021-01-15
005056B85CC51EDAADDE5683590EEF82,AU,Y,2021-01-15
B6FD162E60C91EE68DDD4FB0F61F2276,AU,N,2021-01-15
005056B864471ED9A2A63597D34D886A,AU,N,2021-01-15
005056B8A9EA1EE9AED5F3F62F8B9920,AU,N,2021-01-15
B6FD162E60C91EE68CCBA10DB61F0276,AU,Y,2021-01-15
0017A47705F21EE68DF9AB2783231F31,AU,N,2021-01-15
B6FD162E60C91EE68CF68DC4820A2276,AU,Y,2021-01-15
B6FD162E60C91EE68DD953B7F1C70276,AU,Y,2021-01-15
005056B864471EE8AFCDDA20A91581A1,AU,Y,2021-01-15
005056B864471ED993F9D0A45252533B,AU,,2021-01-15
0017A47705E81ED88CA825EA3A1B00C3,AU,Y,2021-01-15
005056B85CC51EE99CE625F223F98B67,AU,N,2021-01-15
005056B864471ED999D3E23192AC4EEC,AU,Y,2021-01-15
0017A47705F21EE68D82ED7F8B46DF31,AU,Y,2021-01-15
B6FD162E60C91EE6A2BCB306C39EE276,AU,Y,2021-01-15
B6FD162E60C91EE68CD3556C7058C276,AU,,2021-01-15
005056B85CC51EE8A9C28055CB290000,AU,Y,2021-01-15
B6FD162E60C91EE68CC64A5B54F36276,AU,N,2021-01-15
005056B85CC51EE9BFE15CB2D4F14523,AU,Y,2021-01-15
005056B829D81ED8A3BECE5ED7F15AD1,AU,N,2021-01-15
B6FD162E60C91EE68CC7186C8443E276,AU,N,2021-01-15
D1C28602FDCA1ED6BBDB0FFF0FDBB611,AU,Y,2021-01-15
005056B8A9EA1ED995DC82A75DD47ED2,AU,N,2021-01-15
0017A47705E81ED7AFB0FC2E769300C3,AU,N,2021-01-15
0017A47705F21EE68DEBE976B6F5DF31,AU,Y,2021-01-15
005056B829D81EDAAEDB7A78508D1DB9,AU,Y,2021-01-15
005056B864471EDB84A94668FE971A24,AU,Y,2021-01-15
B6FD162E60C91EE68CCACE5150166276,AU,Y,2021-01-15
0017A47705F21EE68DE5DDDAC0595F31,AU,Y,2021-01-15
B6FD162E60C91EE6A2BE7740F357E276,AU,,2021-01-15
B6FD162E60C91EE68E854B43FF578276,AU,Y,2021-01-15
005056B829D81EEB80999CB154B3DF33,AU,Y,2021-01-15
B6FD162E60C91EE68CC1494605E38276,AU,Y,2021-01-15
005056B864471EDA929F0004F23E77B5,AU,,2021-01-15
005056B85CC51EE8A1F02C401B1CD5D8,AU,Y,2021-01-15
005056B829D81EDAB9F524B47D74218D,AU,N,2021-01-15
B6FD162E60C91EE68CC4F9E4DC11A276,AU,N,2021-01-15
005056B85CC51EEA83F5A3D0FAF93AC3,AU,,2021-01-15
0017A47705F21EE697BE2FBB826EBF31,AU,,2021-01-15
B6FD162E60C91EE68CDDDCDD46BA8276,AU,Y,2021-01-15
0017A4770E001ED786EC9C5A309E00BD,AU,,2021-01-15
0017A47705E81ED787F93C88CA47A0BF,AU,,2021-01-15
005056B864471EDAA1E07273BF47B27D,AU,Y,2021-01-15
005056B864471EDAA5A55442FCC278F5,AU,Y,2021-01-15
0017A47705F21EE68BD53FCA564F7F31,AU,Y,2021-01-15
