id,country,region,city,language,gender,birth_year,birth_month,last_ia_timestamp,optin_channel
005056BFC8E81EDCB89D4D6A5905CD01,LA,17,,E,,,,,
005056BFC8E81EDCB89D542CBBF8ED06,LA,13,,E,,,,,
005056BFC8E81EDCB89D5AD119716D08,LA,,,E,,,,,
005056BFC8E81EDCB89D621E4930AE15,LA,,,E,,,,,
005056BFC8E81EDCB89D621AEDC86E15,LA,,,E,,,,,
005056BFC8E81EDCB89D621AEDBBCE15,LA,,,E,,,,,
005056BFC8E81EDCB89D7FF6975A0F3B,LA,,,E,,,,,
005056BFC8E81EDCB89D870AFBF46F49,LA,,,E,,,,,
005056BFC8E81EDCB89D8707A8F56F49,LA,,,E,,,,,
005056BFC8E81EDCB89D8707A8AD8F49,LA,,,E,,,,,
005056BFC8E81EDCB89D8705FE320F49,LA,,,E,,,,,
005056BFC8E81EDCB89D8705FDDF6F49,LA,,,E,,,,,
005056BFC8E81EDCB89D8705FDC8AF49,LA,,,E,,,,,
005056BFC8E81EDCB89D870450F48F49,LA,,,E,,,,,
005056BFF94F1EDCB99A941CB2D6EFA3,LA,,,E,,,,,
005056BFC8E81EDCB89D8DD67E2BF063,LA,,,E,,,,,
005056BFC8E81EDCB89D8DD5A77C3063,LA,,,E,,,,,
005056BFC8E81EDCB89D8DD9410F7063,LA,,,E,,,,,
005056BFC8E81EDCB89D8DD449105063,LA,,,E,,,,,
005056BFC8E81EDCB89D9EC3BA98909B,LA,,,,,,,,Y
005056BFC8E81EDCB89D9EC18D09309B,LA,,,,,,,,N
005056BFF94F1EECBC94903F0B5455DB,LA,,,,,,,,Y
005056BFF94F1EDCB99AA32347C190C8,LA,,,E,,,,,
005056BFC8E81EDCB89DACCFC35B518B,LA,,,,,,,,Y
005056BFAFAF1EDCBEA8C4F0868B18AB,LA,,,E,,,,,
005056BFC8E81EDCB89DBB1F14C9F2B1,LA,,,,,,,,Y
005056BFC8E81EDCB89D8705FE208F49,LA,,,E,,,,,
005056BF63C01EDCB5BD784563E4C7BC,LA,,,,,,,,N
005056B8A9EA1EDA94B34AAF71D1ED2B,LA,,,E,,,,,Y
005056BFC8E81EDCB89DCD9F8B7373C8,LA,,,,,,,,Y
005056B829D81EDAA59246B4A2D7B3F9,LA,,,A,,,,,
005056BFC8E81EDCB89DD63CCDB693D8,LA,,,,,,,,Y
005056BFC8E81EDCB89DD63CCDB393D8,LA,,,,,,,,Y
005056BFC8E81EDCB89D8DDD4B93B064,LA,,,E,,,,,
005056BFC8E81EDCB89D9407D8517067,LA,,,E,,,,,
005056BFC8E81EDCB89D93ECFEE57067,LA,,,E,,,,,
005056BF63C01EECB8A019421FC864CE,LA,,,,,,,,Y
005056BF63C01EECB8A0193DEE4444CE,LA,,,,,,,,Y
005056BF63C01EDCA7AD8C8F993A7EAC,LA,,,E,,,,,N
005056BF63C01EECB8A0194001A9E4CE,LA,,,E,,,,,N
005056BFF94F1EECB8B5FFD826552B34,LA,,,E,,,,,
005056BFF94F1EECB8B5FFD8263D4B34,LA,,,E,,,,,
005056BFF94F1EECB8B5FFD82628AB34,LA,,,E,,,,,
005056BFF94F1EECB8B5FFD826258B34,LA,,,E,,,,,
005056BFF94F1EECB8B5FFD69ABD0B34,LA,,,E,,,,,
005056BFC8E81EDCBFBFD5439D62297A,LA,,,,,,,,Y
005056BFF94F1EDCB99AD9719138F311,LA,13,,E,,,,,
005056BFF94F1EDCB99AD9700072D311,LA,,,E,,,,,
005056BFF94F1EDCB99ADFDC03693438,LA,,,E,,,,,
005056BFF94F1EDCB99ADFCAC7D21434,LA,13,,E,,,,,
005056BFF94F1EDCB99AE67C3AB9743D,LA,04,,E,,,,,
005056BFF94F1EDCB99AE678FC2B743D,LA,13,,E,,,,,
005056BFF94F1EDCB99AED462A8D9441,LA,,,E,,,,,
