"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","Dentsu","Glico","322645754","Non CBP","1","0","paid ads","2021-10-01 00:00:00.0","10","0.0","0.0"
"Tier 2","OnPoint","BOSCH","75810249","Non CBP","1","1","paid ads","2021-09-01 00:00:00.0","9","525.6974242961052",
"Tier 1","Dentsu","RB Health","328910017","Non CBP","1","0","paid ads","2021-09-01 00:00:00.0","9","0.0","0.0"
"Tier 2","1 Digital","Asus","267145398","Non CBP","0","0","paid ads","2021-02-01 00:00:00.0","2","0.0",
"Tier 1","GroupM","Karcher","45544299","Non CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","1172.9031090315018","787.5773506366237"
"Tier 1","Publicis","L'Oreal ACD","37251700","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","10103.579611511619","2928.643426477681"
"Tier 1","GroupM","BRAND’S Suntory","295384841","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","205.71186858246614","138.130769033827"
"Tier 2","PMAX","Unilever","219192749","CBP","1","0","paid ads","2021-05-01 00:00:00.0","5","0.0",
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5",,
"Tier 1","Dentsu","KAO","158660528","CBP","1","0","paid ads","2021-05-01 00:00:00.0","5","0.0","0.0"
"Tier 1","GroupM","Electrolux","331346099","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","711.0577829904388","477.4588800771269"
"Tier 1","Dentsu","Philips","284593651","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","2354.2462439379547","8257.17644139679"
"Tier 1","Publicis","Abbott","148045025","CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","6633.063745648055","1922.6728825857444"
"Tier 1","Dentsu","RB Health","61963112","CBP","1","0","paid ads","2021-11-01 00:00:00.0","11","0.0","0.0"
"Tier 1","Publicis","Abbott","148045025","CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","203.93994619456734","59.11443327852128"
"Tier 1","GroupM","Bayer","165012996","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","102.3842362363731","68.74865016649147"
"Tier 1","GroupM","P&G","148910286","CBP","1","1","paid ads","2021-03-01 00:00:00.0","3","10670.45009728513","7164.9608164645215"
"Tier 2","OnPoint","BRAND’S Suntory","295384841","Non CBP","0","0","paid ads","2021-09-01 00:00:00.0","9","0.0",
"Tier 1","Dentsu","Ariston","244543449","Non CBP","1","1","paid ads","2021-09-01 00:00:00.0","9","213.0716251986818","747.3177491313647"
"Tier 2","Intrepid","Yves Rocher","111139273","Non CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","101.78251958363582",
"Tier 1","GroupM","Nutifood","132920733","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10",,
"Tier 1","Publicis","GSK","137252616","CBP","1","0","paid ads","2021-06-01 00:00:00.0","6","0.0","0.0"
"Tier 2","OnPoint","Taisun","132894999","Non CBP","0","1","paid ads","2021-09-01 00:00:00.0","9","595.1553816643221",
"Tier 1","OMD","Star Kombucha","218106617","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","1078.2407747110126","56.26060580112757"
"Tier 1","Publicis","Budweiser","145529863","Non CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","794.4675500076665","230.2859241321578"
"Tier 1","GroupM","Nokia","66829677","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","21.697064302355688","14.56907760603677"
"Tier 1","Dentsu","Glico","322645754","Non CBP","1","0","paid ads","2021-08-01 00:00:00.0","8","0.0","0.0"
"Tier 2","OnPoint","BOSCH","75810249","Non CBP","1","1","paid ads","2021-02-01 00:00:00.0","2",,
"Tier 2","OnPoint","Unilever International","39232661","CBP","0","1","paid ads","2021-02-01 00:00:00.0","2",,
"Tier 2","1 Digital","Seagate","279742060","Non CBP","0","0","paid ads","2021-02-01 00:00:00.0","2","0.0",
"Tier 2","OnPoint","CJ","253598734","Non CBP","1","1","paid ads","2021-02-01 00:00:00.0","2",,
"Tier 2","OnPoint","Kamart","89771749","Non CBP","0","0","paid ads","2021-10-01 00:00:00.0","10","0.0",
"Tier 1","GroupM","Shiseido CPC","106909158","CBP","1","1","paid ads","2021-03-01 00:00:00.0","3","868.6095010104077","583.2512202209562"
"Tier 2","Intrepid","Panasonic","189431669","CBP","0","1","paid ads","2021-11-01 00:00:00.0","11","2908.587608316929",
"Tier 2","OnPoint","Shiseido Prestige","392896126","Non CBP","0","0","paid ads","2021-11-01 00:00:00.0","11","0.0",
"Tier 2","OnPoint","Vpmilk","320322244","Non CBP","0","1","paid ads","2021-08-01 00:00:00.0","8",,
"Tier 2","OnPoint","Hafele","362649986","Non CBP","0","0","paid ads","2021-06-01 00:00:00.0","6","0.0",
"Tier 1","GroupM","Mars Petcare","55064572","Non CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","88.7074647296711","59.565013951727614"
"Tier 1","GroupM","Nestlé","108166524","CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","4908.22527476916","3295.759921228572"
"Tier 2","OnPoint","Taisun","303751418","Non CBP","0","1","paid ads","2021-09-01 00:00:00.0","9",,
"Tier 1","GroupM","FCV","131420188","Non CBP","1","1","paid ads","2021-01-01 00:00:00.0","1",,
"Tier 1","GroupM","Fonterra","139272103","Non CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","18.934892345507826","12.7143429267389"
"Tier 1","GroupM","Fonterra","139272103","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12",,
"Tier 2","1 Digital","Huawei","93963889","CBP","0","0","paid ads","2021-02-01 00:00:00.0","2","0.0",
"Tier 1","GroupM","Electrolux","331346099","Non CBP","1","1","paid ads","2021-02-01 00:00:00.0","2","290.0089625667074","194.73432088330213"
"Tier 1","Dentsu","RB Health","332890699","Non CBP","1","0","paid ads","2021-02-01 00:00:00.0","2","0.0","0.0"
"Tier 1","GroupM","Shiseido CPC","58411241","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","2600.342789798214","1746.0701309142153"
"Tier 1","GroupM","Shiseido Prestige","392896126","Non CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","744.0714364100465","499.6267859295719"
"Tier 2","PMAX","Groupe SEB","254657873","CBP","1","0","paid ads","2021-04-01 00:00:00.0","4","0.0",
"Tier 1","GroupM","Vinasoy","192983257","Non CBP","1","1","paid ads","2021-04-01 00:00:00.0","4",,
"Tier 1","Publicis","L'Oreal CPD","37252407","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","7215.099866992033","2091.383015656253"
"Tier 1","GroupM","Shiseido CPC","106909158","CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","2393.7849535213013","1607.3713141103838"
"Tier 1","OMD","Star Kombucha","218106617","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","461.0020567502234","24.054233151482077"
"Tier 2","OnPoint","Shiseido Prestige","392896126","Non CBP","0","0","paid ads","2021-07-01 00:00:00.0","7","0.0",
"Tier 1","GroupM","P&G","148910286","CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","19433.306104620515","13049.016255592927"
"Tier 1","GroupM","BRAND’S Suntory","295384841","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","67.00535855768187","44.99255084666909"
"Tier 1","Publicis","Budweiser","145529863","Non CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","327.8756552604028","95.03868127949346"
"Tier 1","Dentsu","Mentholatum","59597911","CBP","1","0","paid ads","2021-01-01 00:00:00.0","1","0.0","0.0"
"Tier 1","Publicis","L'Oreal CPD","37252407","CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","7008.535104731364","2031.5077480384905"
"Tier 1","GroupM","Nutifood","132920733","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12",,
"Tier 2","OnPoint","BRAND’S Suntory","295384841","Non CBP","0","0","paid ads","2021-11-01 00:00:00.0","11","0.0",
"Tier 1","GroupM","Unicharm","63522286","CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","2968.863947186294","1993.5235774558519"
"Tier 1","GroupM","Fonterra","139272103","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11",,
"Tier 2","Intrepid","supersportsvn","82611496","Non CBP","1","0","paid ads","2021-04-01 00:00:00.0","4","0.0",
"Tier 1","GroupM","Nokia","66829677","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","65.91819910230504","44.26254837929372"
"Tier 2","PMAX","Logitech","52679373","Non CBP","1","0","paid ads","2021-09-01 00:00:00.0","9","0.0",
"Tier 1","Publicis","L'Oreal ACD","37147137","CBP","1","1","paid ads","2021-09-01 00:00:00.0","9","4512.803865527455","1308.0901902036594"
